port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,61830743,1995901,105730355,17617885,0,0,0,0,0,0,0,0,2801860608,364528128,9.274482727050781e-05,0
1,43577,22436,44520,61358,0,0,0,0,0,0,0,0,0,-364528128,10.010236978530884,0
1,43668,22354,87846,51532,0,0,0,0,0,0,0,0,0,2297673728,10.010298728942871,0
1,43614,22425,62498,30148,0,0,0,0,0,0,0,0,0,-2146678784,10.010268688201904,0
1,43601,22415,63344,59622,0,0,0,0,0,0,0,0,0,520355840,10.005398988723755,0
1,43519,22363,102742,48369,0,0,0,0,0,0,0,0,0,47104,10.005167961120605,0
1,43595,22445,59383,31516,0,0,0,0,0,0,0,0,0,-306869760,10.01024580001831,0
1,43707,22602,60184,63276,0,0,0,0,0,0,0,0,0,-347750912,10.010245323181152,0
1,43593,22389,77496,65148,0,0,0,0,0,0,0,0,0,47104,10.010190725326538,0
1,43581,22381,29962,25944,0,0,0,0,0,0,0,0,0,734448561,10.010241270065308,0
1,43672,22488,45052,57462,0,0,0,0,0,0,0,0,0,13391,10.010332107543945,0
1,43624,22544,62194,73391,0,0,0,0,0,0,0,0,0,-600291328,10.01031756401062,0
1,43578,22610,49199,75662,0,0,0,0,0,0,0,0,0,-134217728,10.010408878326416,0
1,43711,22533,14762,31094,0,0,0,0,0,0,0,0,0,47104,10.010310173034668,0
1,43611,22459,75978,63516,0,0,0,0,0,0,0,0,0,0,10.010311841964722,0
1,43666,22613,85712,73472,0,0,0,0,0,0,0,0,0,-47104,10.010313749313354,0
1,43617,22519,922,37378,0,0,0,0,0,0,0,0,0,-16777216,10.010329246520996,0
1,43641,22411,82662,54937,0,0,0,0,0,0,0,0,0,364528128,10.010239601135254,0
1,43634,22568,71819,76728,0,0,0,0,0,0,0,0,0,-364528128,10.01024317741394,0
1,43624,22343,22354,24944,0,0,0,0,0,0,0,0,0,47104,10.010239839553833,0
1,43641,22571,69292,63390,0,0,0,0,0,0,0,0,0,0,10.01024341583252,0
1,56803,29278,77930,67070,0,0,0,0,0,0,0,0,0,687818752,13.043976306915283,1
1,46058,23657,46518,57684,0,0,0,0,0,0,0,0,0,47104,10.010284662246704,0
1,43197,22118,120892,47955,0,0,0,0,0,0,0,0,0,-323384832,10.010313272476196,0
1,44043,22571,60780,22172,0,0,0,0,0,0,0,0,0,30208,10.010274410247803,0
1,43656,22481,56017,59006,0,0,0,0,0,0,0,0,0,0,10.010228633880615,0
1,43614,22371,80378,49544,0,0,0,0,0,0,0,0,0,0,10.010230302810669,0
1,43713,22409,27118,26684,0,0,0,0,0,0,0,0,0,0,10.010234355926514,0
1,56785,29229,48322,55556,0,0,0,0,0,0,0,0,-1849556704,738167296,13.043916702270508,1
1,56792,29326,93584,96510,0,0,0,0,0,0,0,0,0,30208,13.043634176254272,1
1,43651,22488,65334,35682,0,0,0,0,0,0,0,0,1849556704,-1102755840,10.010288715362549,0
1,43622,22532,96163,56636,0,0,0,0,0,0,0,0,0,402784256,10.010244369506836,0
1,43626,22556,84530,75104,0,0,0,0,0,0,0,0,0,1894889472,10.010278224945068,0
1,43536,22504,55698,34020,0,0,0,0,0,0,0,0,0,0,10.010257244110107,0
1,56909,29285,32716,60830,0,0,0,0,0,0,0,0,0,0,13.043853521347046,1
1,56807,29301,90830,96677,0,0,0,0,0,0,0,0,0,-2163456000,13.044331073760986,1
1,43642,22457,62553,29534,0,0,0,0,0,0,0,0,0,16777216,10.010254383087158,0
1,43614,22468,69084,69924,0,0,0,0,0,0,0,0,0,47104,10.010309934616089,0
1,69956,36090,128910,93022,0,0,0,0,0,0,0,0,0,0,16.078582763671875,2
1,43651,22474,52106,25474,0,0,0,0,0,0,0,0,0,0,10.010314226150513,0
1,43664,22437,37270,55566,0,0,0,0,0,0,0,0,0,0,10.010258913040161,0
1,43600,22442,43100,64504,0,0,0,0,0,0,0,0,0,-151042048,10.010266304016113,0
1,56821,29279,50909,61468,0,0,0,0,0,0,0,0,0,47104,13.044583082199097,1
1,43604,22478,95916,61322,0,0,0,0,0,0,0,0,0,150947840,10.01026701927185,0
1,43758,22572,35020,33920,0,0,0,0,0,0,0,0,0,47104,10.010271072387695,0
1,43673,22463,46252,60020,0,0,0,0,0,0,0,0,0,2146584864,10.010268449783325,0
1,43629,22418,17494,56702,0,0,0,0,0,0,0,0,0,0,10.010375261306763,0
1,56799,29394,25298,77833,0,0,0,0,0,0,0,0,0,-2280849696,13.042776823043823,1
