port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,2399408,14216,9795114,113078,0,0,0,0,0,0,0,0,2801860608,364528128,9.512901306152344e-05,0
1,8546,0,41224,0,0,0,0,0,0,0,0,0,0,30208,10.010318756103516,0
1,8532,1,20612,387,0,0,0,0,0,0,0,0,0,-30208,10.010237455368042,0
1,8526,0,39730,0,0,0,0,0,0,0,0,0,0,30208,10.005222082138062,0
1,8564,1,41675,64,0,0,0,0,0,0,0,0,0,-30208,10.01023817062378,0
1,8532,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.0102379322052,0
1,8531,0,39730,0,0,0,0,0,0,0,0,0,-849411808,3546171392,10.010241031646729,0
1,8535,1,39794,64,0,0,0,0,0,0,0,0,0,47104,10.010249376296997,0
1,8560,1,20612,0,0,0,0,0,0,0,0,0,849411808,-3546248704,10.010243654251099,0
1,8533,1,41224,387,0,0,0,0,0,0,0,0,0,30208,10.01038408279419,0
1,8530,0,40181,64,0,0,0,0,0,0,0,0,0,-30208,10.010300397872925,0
1,8559,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010644912719727,0
1,8531,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.01025128364563,0
1,8530,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.00282335281372,0
1,8550,0,19118,0,0,0,0,0,0,0,0,0,0,0,10.010298252105713,0
1,8533,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.010242223739624,0
1,8532,0,40117,0,0,0,0,0,0,0,0,0,0,-30208,10.010251998901367,0
1,8560,1,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010233402252197,0
1,8545,0,39794,64,0,0,0,0,0,0,0,0,0,0,10.010238409042358,0
1,8532,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010239124298096,0
1,8538,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.010245323181152,0
1,8555,1,20612,387,0,0,0,0,0,0,0,0,0,-30208,10.010273694992065,0
1,8552,0,39730,0,0,0,0,0,0,0,0,0,0,30208,10.010315656661987,0
1,8547,1,41739,64,0,0,0,0,0,0,0,0,0,-30208,10.010231971740723,0
1,8564,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010264873504639,0
1,8542,1,39730,0,0,0,0,0,0,0,0,0,0,0,10.010233640670776,0
1,8540,0,39794,64,0,0,0,0,0,0,0,0,0,0,10.010252952575684,0
1,8559,1,20612,0,0,0,0,0,0,0,0,0,0,-30208,10.010238885879517,0
1,8546,1,41288,451,0,0,0,0,0,0,0,0,0,30208,10.010231733322144,0
1,8542,0,40117,0,0,0,0,0,0,0,0,0,0,-30208,10.010276556015015,0
1,8527,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.001484870910645,0
1,8556,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.010250806808472,0
1,8534,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010258436203003,0
1,8528,2,20612,0,0,0,0,0,0,0,0,0,0,-30208,10.010244131088257,0
1,8553,0,39794,451,0,0,0,0,0,0,0,0,0,30208,10.010242938995361,0
1,8534,0,40117,0,0,0,0,0,0,0,0,0,0,-30208,10.010250568389893,0
1,8535,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010308742523193,0
1,8552,1,39794,64,0,0,0,0,0,0,0,0,0,0,10.010241270065308,0
1,8530,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010236263275146,0
1,8531,0,20612,0,0,0,0,0,0,0,0,0,0,0,10.010272979736328,0
1,8558,1,41224,387,0,0,0,0,0,0,0,0,0,-30208,10.010241508483887,0
1,8532,1,39794,64,0,0,0,0,0,0,0,0,0,30208,10.010262966156006,0
1,8532,0,20999,0,0,0,0,0,0,0,0,0,0,-30208,10.010254859924316,0
1,8532,0,41224,0,0,0,0,0,0,0,0,0,0,30208,10.010245084762573,0
1,8554,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010320901870728,0
1,8528,1,19182,64,0,0,0,0,0,0,0,0,0,0,10.010241031646729,0
1,8533,1,39730,0,0,0,0,0,0,0,0,0,0,-30208,10.010275840759277,0
1,8554,0,41224,387,0,0,0,0,0,0,0,0,0,30208,10.010242223739624,0
1,8534,1,20999,0,0,0,0,0,0,0,0,0,0,-30208,10.010306596755981,0
1,8543,0,39794,64,0,0,0,0,0,0,0,0,0,30208,10.010239124298096,0
1,8557,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010247468948364,0
1,8532,0,20612,0,0,0,0,0,0,0,0,0,0,0,10.010244607925415,0
1,8534,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.010268211364746,0
1,8550,1,39730,387,0,0,0,0,0,0,0,0,0,-30208,10.010269165039062,0
1,8531,0,20612,0,0,0,0,0,0,0,0,0,0,0,10.010313272476196,0
1,8531,0,40117,0,0,0,0,0,0,0,0,0,0,30208,10.002860069274902,0
1,8532,1,39794,64,0,0,0,0,0,0,0,0,0,0,10.010265588760376,0
1,8552,0,20612,0,0,0,0,0,0,0,0,0,0,0,10.010277509689331,0
1,8533,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010261297225952,0
1,8532,2,41288,451,0,0,0,0,0,0,0,0,0,-30208,10.01025104522705,0
1,8552,0,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010232925415039,0
1,8534,0,40117,0,0,0,0,0,0,0,0,0,0,-30208,10.010238885879517,0
1,8532,0,41224,0,0,0,0,0,0,0,0,0,0,30208,10.01026725769043,0
1,8560,1,20612,0,0,0,0,0,0,0,0,0,0,0,10.010292291641235,0
1,8531,0,39794,64,0,0,0,0,0,0,0,0,0,0,10.010235071182251,0
1,8532,1,39730,0,0,0,0,0,0,0,0,0,0,-30208,10.010250568389893,0
1,8554,0,20612,387,0,0,0,0,0,0,0,0,0,30208,10.010240077972412,0
1,8533,1,41675,64,0,0,0,0,0,0,0,0,0,-30208,10.01026201248169,0
1,8528,0,39730,0,0,0,0,0,0,0,0,0,0,30208,10.010308265686035,0
1,8530,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010232210159302,0
1,8558,1,20676,64,0,0,0,0,0,0,0,0,0,0,10.010260343551636,0
1,8531,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010262250900269,0
1,8527,1,39730,387,0,0,0,0,0,0,0,0,0,-30208,10.01030421257019,0
1,8554,1,20676,64,0,0,0,0,0,0,0,0,0,0,10.010258674621582,0
1,8531,0,40117,0,0,0,0,0,0,0,0,0,0,30208,10.010248184204102,0
1,8531,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.010239124298096,0
1,8552,1,20676,64,0,0,0,0,0,0,0,0,0,0,10.010233640670776,0
1,8532,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010250329971313,0
1,8537,1,41224,387,0,0,0,0,0,0,0,0,0,-30208,10.010268211364746,0
1,8557,1,20676,64,0,0,0,0,0,0,0,0,0,30208,10.010234832763672,0
1,8530,0,40117,0,0,0,0,0,0,0,0,0,0,-30208,10.010255336761475,0
1,8532,0,41224,0,0,0,0,0,0,0,0,0,-2399207424,38172160,10.010239362716675,0
1,8535,1,20676,64,0,0,0,0,0,0,0,0,0,0,10.010233640670776,0
1,8552,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.010286092758179,0
1,8535,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.010269165039062,0
1,8534,2,20676,451,0,0,0,0,0,0,0,0,2399207424,-38172160,10.01034164428711,0
1,8563,0,41611,0,0,0,0,0,0,0,0,0,0,0,10.010270833969116,0
1,8532,0,39730,0,0,0,0,0,0,0,0,0,0,30208,10.010236024856567,0
1,8533,1,20612,0,0,0,0,0,0,0,0,0,0,0,10.01024055480957,0
1,8550,0,41288,64,0,0,0,0,0,0,0,0,0,0,10.010259628295898,0
1,8534,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.010273218154907,0
1,8528,2,20612,387,0,0,0,0,0,0,0,0,0,-30208,10.010245323181152,0
1,8552,0,39794,64,0,0,0,0,0,0,0,0,-2399207424,38172160,10.01024055480957,0
1,8532,0,40117,0,0,0,0,0,0,0,0,0,2399207424,-38172160,10.010244846343994,0
1,8535,1,20612,0,0,0,0,0,0,0,0,0,0,30208,10.010243892669678,0
1,8529,0,39794,64,0,0,0,0,0,0,0,0,0,0,10.010247230529785,0
1,8558,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.01025676727295,0
1,8531,2,20612,0,0,0,0,0,0,0,0,0,0,-30208,10.001482486724854,0
1,8532,0,41288,451,0,0,0,0,0,0,0,0,0,30208,10.01024317741394,0
