port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,28600241,14814,66388017,228419,0,0,0,0,0,0,0,0,2801860608,364528128,9.179115295410156e-05,0
1,59598,0,17847,0,0,0,0,0,0,0,0,0,-2454109696,-356139199,10.010244607925415,0
1,59824,1,11718,0,0,0,0,0,0,0,0,0,0,2289237983,10.010235786437988,0
1,59681,0,17524,64,0,0,0,0,0,0,0,0,0,46816,10.01024055480957,0
1,59758,0,21942,0,0,0,0,0,0,0,0,0,0,0,10.010251998901367,0
1,59860,1,10224,0,0,0,0,0,0,0,0,0,0,0,10.010305404663086,0
1,59655,1,19018,451,0,0,0,0,0,0,0,0,2454109696,-1933145600,10.010305881500244,0
1,59665,0,19341,0,0,0,0,0,0,0,0,0,0,0,10.010326862335205,0
1,59832,0,10224,0,0,0,0,0,0,0,0,0,0,30208,10.010247945785522,0
1,59660,0,20448,0,0,0,0,0,0,0,0,0,0,-230340608,10.01024603843689,0
1,59665,1,19018,64,0,0,0,0,0,0,0,0,0,-134217728,10.010271072387695,0
1,63385,0,11718,0,0,0,0,0,0,0,0,0,0,16777216,10.010234117507935,0
1,59652,1,20448,0,0,0,0,0,0,0,0,0,0,347750912,10.010270833969116,0
1,59823,0,20448,387,0,0,0,0,0,0,0,0,-2399207424,38125056,10.010274648666382,0
1,59659,1,9117,0,0,0,0,0,0,0,0,0,2399207424,-38125056,10.010237455368042,0
1,59656,0,20512,64,0,0,0,0,0,0,0,0,0,30208,10.01024842262268,0
1,59844,0,18954,0,0,0,0,0,0,0,0,0,0,0,10.010241985321045,0
1,59663,0,10224,0,0,0,0,0,0,0,0,0,0,0,10.010282039642334,0
1,59719,1,21942,0,0,0,0,0,0,0,0,0,0,0,10.010275840759277,0
1,59813,1,19018,451,0,0,0,0,0,0,0,0,0,-30208,10.010261058807373,0
1,59659,0,10224,0,0,0,0,0,0,0,0,0,0,0,10.010236024856567,0
1,59669,0,22329,0,0,0,0,0,0,0,0,0,0,30208,10.010245084762573,0
1,59763,0,18954,0,0,0,0,0,0,0,0,0,0,0,10.01024317741394,0
1,59854,1,10288,64,0,0,0,0,0,0,0,0,0,0,10.01023530960083,0
1,59658,0,20448,0,0,0,0,0,0,0,0,0,0,1933068576,10.010257720947266,0
1,59715,1,18954,387,0,0,0,0,0,0,0,0,0,-1933098784,10.010235786437988,0
1,59787,0,11718,0,0,0,0,0,0,0,0,0,0,0,10.010303258895874,0
1,59656,1,19341,0,0,0,0,0,0,0,0,0,0,30208,10.01026701927185,0
1,59714,0,23500,64,0,0,0,0,0,0,0,0,0,1933068576,10.010268926620483,0
1,59884,0,8730,0,0,0,0,0,0,0,0,0,0,46816,10.010240316390991,0
1,59663,0,18954,0,0,0,0,0,0,0,0,0,0,-2297673728,10.010303974151611,0
1,59667,1,21942,0,0,0,0,0,0,0,0,0,0,364528128,10.010237455368042,0
1,59816,1,10288,451,0,0,0,0,0,0,0,0,0,30208,10.010240077972412,0
1,59669,0,22329,0,0,0,0,0,0,0,0,0,0,0,10.01026725769043,0
1,59666,0,18954,0,0,0,0,0,0,0,0,0,0,0,10.010324954986572,0
1,59657,0,18954,0,0,0,0,0,0,0,0,0,0,0,10.010246276855469,0
1,59880,1,13276,64,0,0,0,0,0,0,0,0,0,0,10.01034665107727,0
1,59648,0,17460,0,0,0,0,0,0,0,0,0,0,0,10.010239839553833,0
1,59690,1,23436,387,0,0,0,0,0,0,0,0,0,-30208,10.010246276855469,0
1,59825,0,10611,0,0,0,0,0,0,0,0,0,0,0,10.01026201248169,0
1,59688,1,18954,0,0,0,0,0,0,0,0,0,0,30208,10.010243654251099,0
1,59689,0,23500,64,0,0,0,0,0,0,0,0,0,0,10.010239124298096,0
1,59861,0,8730,0,0,0,0,0,0,0,0,0,0,0,10.010252952575684,0
1,59660,0,20448,0,0,0,0,0,0,0,0,0,0,0,10.010241746902466,0
1,59664,1,21942,387,0,0,0,0,0,0,0,0,0,-30208,10.010315179824829,0
1,59830,1,11782,64,0,0,0,0,0,0,0,0,0,0,10.01024055480957,0
1,59668,0,17847,0,0,0,0,0,0,0,0,0,0,30208,10.010239124298096,0
1,59670,0,23436,0,0,0,0,0,0,0,0,0,0,0,10.010401725769043,0
1,59697,0,8730,0,0,0,0,0,0,0,0,0,0,0,10.010242938995361,0
1,59797,1,21942,0,0,0,0,0,0,0,0,0,0,0,10.010237216949463,0
1,59651,0,22006,64,0,0,0,0,0,0,0,0,0,0,10.010318756103516,0
1,59624,1,8730,387,0,0,0,0,0,0,0,0,0,-30208,10.01024317741394,0
1,59829,0,22329,0,0,0,0,0,0,0,0,0,0,0,10.010240077972412,0
1,59671,0,21942,0,0,0,0,0,0,0,0,0,0,30208,10.010332345962524,0
1,59656,1,8794,64,0,0,0,0,0,0,0,0,0,0,10.010382413864136,0
1,59813,0,20448,0,0,0,0,0,0,0,0,0,0,0,10.010302782058716,0
1,59660,0,21942,0,0,0,0,0,0,0,0,0,0,0,10.01030421257019,0
1,59649,1,11718,387,0,0,0,0,0,0,0,0,0,-30208,10.010308980941772,0
1,59870,1,22329,0,0,0,0,0,0,0,0,0,0,0,10.010241270065308,0
1,59669,0,20512,64,0,0,0,0,0,0,0,0,0,30208,10.010244846343994,0
1,59650,0,8730,0,0,0,0,0,0,0,0,0,0,0,10.010236740112305,0
1,59701,0,21942,0,0,0,0,0,0,0,0,0,0,0,10.010238409042358,0
1,59847,0,21942,0,0,0,0,0,0,0,0,0,-1032961536,1068993024,10.010242938995361,0
1,59653,2,10224,0,0,0,0,0,0,0,0,0,1032961536,-1069023232,10.010241270065308,0
1,59663,0,20576,451,0,0,0,0,0,0,0,0,0,30208,10.0102379322052,0
1,59862,0,22329,0,0,0,0,0,0,0,0,0,0,-30208,10.010254859924316,0
1,59655,0,11718,0,0,0,0,0,0,0,0,0,0,30208,10.009184122085571,0
1,59720,0,18954,0,0,0,0,0,0,0,0,0,0,0,10.010337591171265,0
1,59862,1,23500,64,0,0,0,0,0,0,0,0,0,0,10.010360717773438,0
1,59713,0,8730,0,0,0,0,0,0,0,0,0,0,1933068576,10.010302543640137,0
1,59717,1,20448,387,0,0,0,0,0,0,0,0,0,-1933098784,10.010323524475098,0
1,59833,0,25317,0,0,0,0,0,0,0,0,0,0,0,10.010265827178955,0
1,59614,1,10224,0,0,0,0,0,0,0,0,0,0,30208,10.002744674682617,0
1,59656,0,16030,64,0,0,0,0,0,0,0,0,0,0,10.010242700576782,0
1,59672,1,24994,64,0,0,0,0,0,0,0,0,0,0,10.010241508483887,0
1,59822,0,4248,0,0,0,0,0,0,0,0,0,0,0,10.010246753692627,0
1,59660,2,24930,387,0,0,0,0,0,0,0,0,0,1933068576,10.007880210876465,0
1,59685,0,23887,64,0,0,0,0,0,0,0,0,0,-2280849696,10.010262250900269,0
