port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,76419,14075,482181,91002,0,0,0,0,0,0,0,0,1912602624,364528128,0.000136614,0
1,8528,1,39730,387,0,0,0,0,0,0,0,0,889257984,0,10.0103054,0
1,8534,0,40117,0,0,0,0,0,0,0,0,0,0,0,10.0103271,0
1,8531,1,41288,64,0,0,0,0,0,0,0,0,0,30208,10.01026201,0
1,8558,0,19118,0,0,0,0,0,0,0,0,0,0,0,10.01032615,0
1,8536,0,41224,0,0,0,0,0,0,0,0,0,0,0,10.01027274,0
1,8530,1,41288,64,0,0,0,0,0,0,0,0,0,0,10.01023746,0
1,8554,1,20612,387,0,0,0,0,0,0,0,0,0,-30208,10.01028514,0
1,8531,1,39794,64,0,0,0,0,0,0,0,0,0,0,10.01027632,0
1,8531,0,41611,0,0,0,0,0,0,0,0,0,0,30208,10.01024675,0
1,8556,0,20612,0,0,0,0,0,0,0,0,0,0,0,10.01029158,0
1,8530,1,39794,64,0,0,0,0,0,0,0,0,0,0,10.01024771,0
1,8532,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.01031351,0
1,8553,1,20612,0,0,0,0,0,0,0,0,0,0,-30208,10.01024342,0
1,8530,1,39794,451,0,0,0,0,0,0,0,0,0,30208,10.0102396,0
1,8532,0,41611,0,0,0,0,0,0,0,0,0,0,-30208,10.01028395,0
1,8534,1,20612,0,0,0,0,0,0,0,0,0,0,30208,10.01032472,0
1,8554,0,41288,64,0,0,0,0,0,0,0,0,0,0,10.01026464,0
1,8532,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.01028013,0
1,8532,1,20612,0,0,0,0,0,0,0,0,0,0,0,10.01023698,0
1,8552,1,41288,451,0,0,0,0,0,0,0,0,0,-30208,10.01032972,0
1,8528,0,40117,0,0,0,0,0,0,0,0,0,0,0,10.01026893,0
1,8534,1,20676,64,0,0,0,0,0,0,0,0,0,30208,10.01023388,0
1,8559,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.01025271,0
1,8531,0,39730,0,0,0,0,0,0,0,0,0,0,0,10.01025248,0
1,8538,1,20676,64,0,0,0,0,0,0,0,0,0,0,10.010252,0
1,8564,1,41224,387,0,0,0,0,0,0,0,0,0,-30208,10.0103054,0
