port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,43,74541,7941,49073,0,0,0,0,0,0,0,0,2835415040,364528128,2.09808349609375e-05,0
1,0,77207,389,90375,0,0,0,0,0,0,0,0,0,30208,10.001710891723633,0
1,0,76207,0,58572,0,0,0,0,0,0,0,0,0,0,10.001652002334595,0
1,7,76161,2376,29792,0,0,0,0,0,0,0,0,0,38225920,10.009290933609009,0
1,10,76916,6004,23134,0,0,0,0,0,0,0,0,0,47104,10.010142087936401,0
1,8,76511,5410,82712,0,0,0,0,0,0,0,0,0,0,10.000415086746216,0
1,9,76942,2970,37790,0,0,0,0,0,0,0,0,0,0,10.004685878753662,0
1,12,76821,8111,86348,0,0,0,0,0,0,0,0,0,-38303232,10.007757186889648,0
1,12,76357,7786,82010,0,0,0,0,0,0,0,0,0,-364528128,10.00846791267395,0
1,8,76689,2970,54162,0,0,0,0,0,0,0,0,0,0,10.007476806640625,0
1,9,77242,6004,46394,0,0,0,0,0,0,0,0,0,47104,10.002509117126465,0
1,9,77330,5940,58006,0,0,0,0,0,0,0,0,0,0,10.010368824005127,0
1,11,76539,5346,35453,0,0,0,0,0,0,0,0,1342111744,364481024,10.003258228302002,0
1,10,76699,6393,55285,0,0,0,0,0,0,0,0,-1342111744,0,10.010376930236816,0
1,11,76436,6534,62408,0,0,0,0,0,0,0,0,0,30208,10.008666038513184,0
1,10,76478,4222,932,0,0,0,0,0,0,0,0,0,1933068576,10.007133960723877,0
1,12,76759,8316,32238,0,0,0,0,0,0,0,0,0,0,10.007307052612305,0
1,10,76860,6004,71036,0,0,0,0,0,0,0,0,0,-1894973728,10.01029109954834,0
1,10,76285,4752,42252,0,0,0,0,0,0,0,0,0,47104,10.004918098449707,0
1,8,76363,4816,36448,0,0,0,0,0,0,0,0,0,-38172160,10.0101900100708,0
1,11,77122,8111,38212,0,0,0,0,0,0,0,0,0,30208,10.009533882141113,0
1,9,76397,3034,32952,0,0,0,0,0,0,0,0,0,0,10.0070641040802,0
1,10,76417,5940,77980,0,0,0,0,0,0,0,0,0,-364558336,10.0103600025177,0
1,10,76975,7786,80982,0,0,0,0,0,0,0,0,0,47104,10.0103759765625,0
1,6,76665,2376,53942,0,0,0,0,0,0,0,0,1342111744,364481024,10.006342887878418,0
1,10,76214,6534,97850,0,0,0,0,0,0,0,0,0,30208,10.007169961929321,0
1,12,77592,7051,87934,0,0,0,0,0,0,0,0,-1342111744,-230340608,10.010226964950562,0
1,10,76635,3564,44314,0,0,0,0,0,0,0,0,0,47104,10.010382890701294,0
1,9,76275,6534,59138,0,0,0,0,0,0,0,0,0,0,10.00709080696106,0
1,10,76861,7192,58146,0,0,0,0,0,0,0,0,0,0,10.010272979736328,0
1,12,77093,2970,32398,0,0,0,0,0,0,0,0,0,2163362080,10.010367155075073,0
1,8,77089,6662,77058,0,0,0,0,0,0,0,0,0,46816,10.000689029693604,0
