port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,6149366,19151132,12614006,24482075,0,0,0,0,0,0,0,0,2835415040,364528128,3.1948089599609375e-05,0
1,0,112374,0,73202,0,0,0,0,0,0,0,0,0,-364528128,13.029290199279785,1
1,2,86560,389,48982,0,0,0,0,0,0,0,0,0,16777216,10.010336875915527,0
1,9,86475,1846,93996,0,0,0,0,0,0,0,0,0,1644232704,10.010427951812744,0
1,24,190464,14978,178417,0,0,0,0,0,0,0,0,1342111744,-1661009920,22.092545986175537,4
1,36,346089,22559,273224,0,0,0,0,0,0,0,0,0,0,40.168964862823486,10
1,9,86442,2970,57252,0,0,0,0,0,0,0,0,0,150994944,10.002686023712158,0
1,8,86275,5410,110852,0,0,0,0,0,0,0,0,0,47104,10.007424116134644,0
1,13,112371,7786,94834,0,0,0,0,0,0,0,0,0,0,13.027942895889282,1
1,10,86595,6534,106914,0,0,0,0,0,0,0,0,0,2146584864,10.010374784469604,0
1,18,138181,6987,71590,0,0,0,0,0,0,0,0,0,-2146631968,16.02482318878174,2
1,16,138418,11350,141103,0,0,0,0,0,0,0,0,0,213533184,16.045675039291382,2
1,16,112547,8316,95972,0,0,0,0,0,0,0,0,0,-364528128,13.027941942214966,1
1,52,554064,31533,426032,0,0,0,0,0,0,0,0,-2408627712,0,64.32687187194824,18
1,26,242291,15303,220102,0,0,0,0,0,0,0,0,183549728,0,28.1108980178833,6
1,26,216224,14914,160968,0,0,0,0,0,0,0,0,0,2297626912,25.093897104263306,5
1,19,164381,9568,157162,0,0,0,0,0,0,0,0,-1549795616,1491746784,19.053865909576416,3
1,6,86283,5410,100748,0,0,0,0,0,0,0,0,0,30464,10.010365009307861,0
1,24,164235,12991,141618,0,0,0,0,0,0,0,0,0,-599837323,19.06390404701233,3
1,24,268273,13196,240010,0,0,0,0,0,0,0,0,0,-3189566837,31.117788076400757,7
1,26,190064,16427,187706,0,0,0,0,0,0,0,0,2432761856,364528128,22.063827991485596,4
1,12,86248,4286,51150,0,0,0,0,0,0,0,0,0,-230310400,10.003466129302979,0
1,6,112566,5346,116702,0,0,0,0,0,0,0,0,0,47104,13.023458003997803,1
1,27,216242,16166,215406,0,0,0,0,0,0,0,0,0,3372173312,25.080722093582153,5
1,28,268256,15961,216608,0,0,0,0,0,0,0,0,-2667642616,687865855,31.127821922302246,7
1,6,91838,4752,118900,0,0,0,0,0,0,0,0,0,-18431,10.010289192199707,0
1,20,164202,9632,154664,0,0,0,0,0,0,0,0,0,-4043290624,19.053816080093384,3
