port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec
1,6148286,12919755,12060517,10944436,0,0,0,0,0,0,0,0,4177526784,0
1,24,141679,12421,95539,0,0,0,0,0,0,0,0,0,2617311232
1,11,3,7128,639,0,0,0,0,0,0,0,0,0,-2252783104
1,2,1,658,64,0,0,0,0,0,0,0,0,0,30208
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,389,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,58297,566,63695,0,0,0,0,0,0,0,0,0,0
1,1,164610,389,150346,0,0,0,0,0,0,0,0,0,-364558336
1,12,112389,5410,157478,0,0,0,0,0,0,0,0,0,0
1,54,475956,31405,387568,0,0,0,0,0,0,0,0,-2408627712,2297626912
1,13,138488,5474,66056,0,0,0,0,0,0,0,0,-1366245888,1491746784
1,33,372312,21307,349782,0,0,0,0,0,0,0,0,1366245888,-1491746784
1,22,242377,9568,171072,0,0,0,0,0,0,0,0,0,-1890142496
1,27,320436,18995,286158,0,0,0,0,0,0,0,0,0,-407437312
1,24,242547,11880,133216,0,0,0,0,0,0,0,0,0,1448738816
1,25,268147,12991,214568,0,0,0,0,0,0,0,0,0,-1280966656
1,10,86261,7722,108020,0,0,0,0,0,0,0,0,2408627712,196708864
1,12,112321,5940,110630,0,0,0,0,0,0,0,0,0,1933098784
1,11,86559,9038,97096,0,0,0,0,0,0,0,0,0,46816
1,24,242166,14645,205380,0,0,0,0,0,0,0,0,0,-1609807872
1,48,476114,26328,368262,0,0,0,0,0,0,0,0,-4009754360,2181185792
1,4,86594,3953,41914,0,0,0,0,0,0,0,0,0,30464
1,7,86301,2440,118442,0,0,0,0,0,0,0,0,0,0
1,18,216057,9504,160382,0,0,0,0,0,0,0,0,0,-571455200
1,9,86435,8380,105302,0,0,0,0,0,0,0,0,0,-334627104
1,43,372167,21307,275674,0,0,0,0,0,0,0,0,0,-1962999808
1,23,216205,12538,154896,0,0,0,0,0,0,0,0,0,151042048
1,14,86390,8974,102692,0,0,0,0,0,0,0,0,4009754360,213516288
1,7,86617,6329,106076,0,0,0,0,0,0,0,0,0,-347734016
1,18,183798,7192,138424,0,0,0,0,0,0,0,0,-2225077984,-16824320
1,9,0,7792,53519,0,0,0,0,0,0,0,0,0,47104
1,14,0,7128,0,0,0,0,0,0,0,0,0,0,0
1,10,0,4752,0,0,0,0,0,0,0,0,0,882966240,364481024
1,0,0,3359,0,0,0,0,0,0,0,0,0,0,30208
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,213,0,0,0,0,0,0,0,0,1342111744,-30208
1,0,0,0,213,0,0,0,0,0,0,0,0,0,30208
1,1,0,389,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,389,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,213,0,0,0,0,0,0,0,0,0,-30208
1,0,1,0,213,0,0,0,0,0,0,0,0,0,0
1,1,0,389,0,0,0,0,0,0,0,0,0,0,30208
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,389,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,213,0,0,0,0,0,0,0,0,0,0
1,0,0,0,213,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,389,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
