port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,6148861,17943536,12375595,15490728,0,0,0,0,0,0,0,0,4177526784,364528128,2.002716064453125e-05,0
1,9,5296,955,38672,0,0,0,0,0,0,0,0,0,30208,10.005506038665771,0
1,0,9185,0,96244,0,0,0,0,0,0,0,0,0,0,10.004562139511108,0
1,0,9150,0,96244,0,0,0,0,0,0,0,0,0,0,10.008188009262085,0
1,0,8957,0,28570,0,0,0,0,0,0,0,0,0,0,10.007110118865967,0
1,0,8664,0,66988,0,0,0,0,0,0,0,0,0,0,10.009200096130371,0
1,1,11887,64,70242,0,0,0,0,0,0,0,0,0,-30208,13.016385078430176,1
1,8,9156,3423,94790,0,0,0,0,0,0,0,0,-1342111744,0,10.000909090042114,0
1,6,9156,2376,43908,0,0,0,0,0,0,0,0,0,30208,10.010141134262085,0
1,0,8835,1782,99008,0,0,0,0,0,0,0,0,0,0,10.007030963897705,0
1,0,8761,0,13966,0,0,0,0,0,0,0,0,0,0,10.010264873504639,0
1,1,9157,64,44810,0,0,0,0,0,0,0,0,0,0,10.00915813446045,0
1,6,9157,1782,96244,0,0,0,0,0,0,0,0,0,0,10.009567022323608,0
1,10,9247,5863,96372,0,0,0,0,0,0,0,0,0,0,10.010143995285034,0
1,0,8801,594,10196,0,0,0,0,0,0,0,0,0,0,10.010210990905762,0
1,1,8793,0,111114,0,0,0,0,0,0,0,0,0,2067286304,10.009528875350952,0
1,0,9172,64,54848,0,0,0,0,0,0,0,0,0,46816,10.00059700012207,0
1,7,9157,1188,52336,0,0,0,0,0,0,0,0,0,0,10.007349014282227,0
1,7,9153,4880,96798,0,0,0,0,0,0,0,0,1342111744,-2067363328,10.006586074829102,0
1,1,8871,1782,81782,0,0,0,0,0,0,0,0,0,30208,10.007597923278809,0
1,2,8728,453,53314,0,0,0,0,0,0,0,0,0,0,10.008909940719604,0
1,0,9156,0,91940,0,0,0,0,0,0,0,0,0,0,10.00912594795227,0
1,7,9158,2504,96372,0,0,0,0,0,0,0,0,0,0,10.01025915145874,0
1,9,9211,2376,43908,0,0,0,0,0,0,0,0,0,0,10.010165929794312,0
1,1,8879,3564,71428,0,0,0,0,0,0,0,0,0,0,10.010335206985474,0
1,0,11411,64,63178,0,0,0,0,0,0,0,0,0,-213563392,13.028672933578491,1
1,2,9247,453,75578,0,0,0,0,0,0,0,0,0,47104,10.010220050811768,0
1,8,9157,3628,96308,0,0,0,0,0,0,0,0,0,0,10.007573127746582,0
1,8,9157,2970,43908,0,0,0,0,0,0,0,0,0,0,10.009360790252686,0
1,0,8733,1846,68494,0,0,0,0,0,0,0,0,0,0,10.010195016860962,0
1,0,8874,0,58110,0,0,0,0,0,0,0,0,0,213486080,10.005053997039795,0
1,1,9157,64,43972,0,0,0,0,0,0,0,0,0,30208,10.005134105682373,0
1,8,9156,2829,94790,0,0,0,0,0,0,0,0,0,0,10.00186800956726,0
1,7,9177,4816,96308,0,0,0,0,0,0,0,0,0,0,10.010149002075195,0
1,0,8933,0,32542,0,0,0,0,0,0,0,0,-2408627712,1068993024,10.006714105606079,0
1,3,8836,722,109936,0,0,0,0,0,0,0,0,0,30208,10.002955913543701,0
1,0,9156,0,96244,0,0,0,0,0,0,0,0,0,0,10.006964921951294,0
1,7,9247,1782,52336,0,0,0,0,0,0,0,0,0,0,10.007302045822144,0
1,9,11886,5474,96372,0,0,0,0,0,0,0,0,0,0,13.018623113632202,1
1,0,8590,983,51204,0,0,0,0,0,0,0,0,0,0,10.010063886642456,0
1,0,8939,0,56536,0,0,0,0,0,0,0,0,0,0,10.008394956588745,0
1,4,11988,658,95216,0,0,0,0,0,0,0,0,2408627712,-1069053440,13.020435094833374,1
1,10,9156,6004,94790,0,0,0,0,0,0,0,0,0,30208,10.0103440284729,0
1,3,8997,2376,52336,0,0,0,0,0,0,0,0,0,0,10.00747799873352,0
1,2,8719,453,30576,0,0,0,0,0,0,0,0,0,0,10.008068799972534,0
1,2,9047,658,87238,0,0,0,0,0,0,0,0,0,0,10.009704828262329,0
1,3,9156,0,52336,0,0,0,0,0,0,0,0,0,0,10.010339975357056,0
1,9,9246,5346,94726,0,0,0,0,0,0,0,0,0,0,10.010359048843384,0
1,5,9053,3692,101394,0,0,0,0,0,0,0,0,0,0,10.003620147705078,0
1,0,8536,0,26138,0,0,0,0,0,0,0,0,0,2319796224,10.008845090866089,0
1,1,9171,594,31834,0,0,0,0,0,0,0,0,0,47104,10.010169982910156,0
1,5,9157,1641,104736,0,0,0,0,0,0,0,0,0,0,10.01013994216919,0
1,8,9157,3034,43972,0,0,0,0,0,0,0,0,0,0,10.010316848754883,0
1,4,9098,4158,96670,0,0,0,0,0,0,0,0,0,-2319873536,10.003535985946655,0
1,0,8629,0,58250,0,0,0,0,0,0,0,0,0,30208,10.010272026062012,0
1,1,9033,64,10200,0,0,0,0,0,0,0,0,0,0,10.005522012710571,0
1,2,9156,594,96244,0,0,0,0,0,0,0,0,0,0,10.01007604598999,0
1,10,9151,5205,96308,0,0,0,0,0,0,0,0,-1342111744,-30208,10.007107973098755,0
1,5,9177,2970,52336,0,0,0,0,0,0,0,0,0,30208,10.009104013442993,0
1,0,8629,64,32154,0,0,0,0,0,0,0,0,0,0,10.010295867919922,0
1,0,8960,0,91668,0,0,0,0,0,0,0,0,0,0,10.010302782058716,0
1,1,9160,0,43908,0,0,0,0,0,0,0,0,0,0,10.0100679397583,0
1,9,9243,3692,103282,0,0,0,0,0,0,0,0,0,1933115392,10.006897926330566,0
1,7,9116,5141,86298,0,0,0,0,0,0,0,0,0,0,10.010185956954956,0
1,0,8560,0,51792,0,0,0,0,0,0,0,0,0,0,10.003201961517334,0
1,2,9091,594,94020,0,0,0,0,0,0,0,0,1342111744,-1933145600,10.003138065338135,0
1,3,9157,722,96372,0,0,0,0,0,0,0,0,0,30208,10.005492925643921,0
1,6,9155,2376,52336,0,0,0,0,0,0,0,0,0,0,10.006524085998535,0
1,6,12235,5346,101146,0,0,0,0,0,0,0,0,0,0,13.02481198310852,1
1,2,8679,64,51796,0,0,0,0,0,0,0,0,-1342111744,-30208,10.010243892669678,0
1,2,9141,983,57178,0,0,0,0,0,0,0,0,0,30208,10.006630897521973,0
1,4,9156,1846,96308,0,0,0,0,0,0,0,0,0,0,10.002295970916748,0
1,8,9157,2376,52336,0,0,0,0,0,0,0,0,0,0,10.00801396369934,0
1,3,9094,4222,61078,0,0,0,0,0,0,0,0,0,0,10.010257005691528,0
1,0,8548,0,42542,0,0,0,0,0,0,0,0,0,0,10.008599042892456,0
1,0,9116,0,61912,0,0,0,0,0,0,0,0,0,0,10.010334014892578,0
1,5,9219,1047,96308,0,0,0,0,0,0,0,0,1342111744,-30208,10.0085289478302,0
1,8,9186,4222,95216,0,0,0,0,0,0,0,0,0,0,10.007822036743164,0
1,1,8974,1782,52336,0,0,0,0,0,0,0,0,0,30208,10.002249956130981,0
1,1,8687,64,64756,0,0,0,0,0,0,0,0,0,0,10.008260011672974,0
1,2,9104,658,55414,0,0,0,0,0,0,0,0,0,0,10.008270978927612,0
1,3,9156,0,43908,0,0,0,0,0,0,0,0,0,0,10.01024603843689,0
1,9,9209,5141,96244,0,0,0,0,0,0,0,0,0,0,10.008170127868652,0
1,3,9071,3034,91384,0,0,0,0,0,0,0,0,0,0,10.00977897644043,0
1,0,8541,0,19228,0,0,0,0,0,0,0,0,0,0,10.00243091583252,0
1,0,9084,0,50208,0,0,0,0,0,0,0,0,0,0,10.010143995285034,0
1,4,9157,1252,96308,0,0,0,0,0,0,0,0,0,0,10.00796103477478,0
1,9,9247,2440,52400,0,0,0,0,0,0,0,0,0,0,10.010133981704712,0
1,5,11668,5346,96244,0,0,0,0,0,0,0,0,0,-30208,13.027184963226318,1
1,1,8675,389,103269,0,0,0,0,0,0,0,0,0,30208,10.010109901428223,0
1,0,9170,64,83266,0,0,0,0,0,0,0,0,0,0,10.010105848312378,0
1,5,9157,0,52336,0,0,0,0,0,0,0,0,0,0,10.008880853652954,0
1,9,9156,5410,96308,0,0,0,0,0,0,0,0,0,0,10.0100839138031,0
1,2,8891,3034,96406,0,0,0,0,0,0,0,0,0,0,10.003533124923706,0
1,1,11467,389,26736,0,0,0,0,0,0,0,0,0,0,13.026877880096436,1
1,0,9150,0,96244,0,0,0,0,0,0,0,0,0,0,10.010162115097046,0
