port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errorrx_packetss,tx_errors,rx_frame_err,rx_over_err,rx_crc_err,collisions,duration_sec,duration_nsec,seconds,api_retry
1,286727,149078,207076,159016,0,0,0,0,0,0,0,0,0,536870912,37.33290434,9
1,77112,40018,109870,84294,0,0,0,0,0,0,0,0,0,-536870912,10.01023483,0
1,77263,40345,77159,45992,0,0,0,0,0,0,0,0,0,536870912,10.01025748,0
1,100210,52172,83684,35404,0,0,0,0,0,0,0,0,0,-536870912,13.04242659,1
1,100754,52249,46412,15884,0,0,0,0,0,0,0,0,0,2146631968,13.0433681,1
1,77356,39841,59822,25596,0,0,0,0,0,0,0,0,-849411808,0,10.0102303,0
1,378806,196020,229451,210988,0,0,0,0,0,0,0,0,0,-2146631968,49.45576334,13
1,100503,51916,67718,17248,0,0,0,0,0,0,0,0,0,251658240,13.04356885,1
1,146728,75928,70666,67410,0,0,0,0,0,0,0,0,0,-385875968,19.11545992,3
1,100800,52149,94237,22888,0,0,0,0,0,0,0,0,0,-16777216,13.04432702,1
1,216599,112561,136920,54276,0,0,0,0,0,0,0,0,0,687865856,28.218225,6
1,379238,197062,223651,135836,0,0,0,0,0,0,0,0,-183549728,-687865856,49.46786213,13
1,99882,52060,146214,41778,0,0,0,0,0,0,0,0,-816595168,150994944,13.04463673,1
1,100487,52218,44488,32646,0,0,0,0,0,0,0,0,0,-150994944,13.04406905,1
1,77412,39911,39904,57638,0,0,0,0,0,0,0,0,0,1102755840,10.01025629,0
1,100072,52005,81065,32924,0,0,0,0,0,0,0,0,0,-951760896,13.04661727,1
1,286522,148744,217938,63750,0,0,0,0,0,0,0,0,0,256442656,37.32452893,9
1,193606,100049,159651,131688,0,0,0,0,0,0,0,0,0,-407437600,25.19465518,5
1,1122981,582599,782418,627508,0,0,0,0,0,0,0,0,539951104,50350081,149.5848818,46
1,49301,25569,44304,59074,0,0,0,0,0,0,0,0,487456480,-50350081,10.01023817,0
1,79804,41189,61482,3130,0,0,0,0,0,0,0,0,0,47104,10.01023746,0
1,77474,40284,29452,33672,0,0,0,0,0,0,0,0,0,687818752,10.01023507,0
1,100583,52285,23243,46463,0,0,0,0,0,0,0,0,822149120,-687865856,13.04562998,1
1,76977,40041,100392,41106,0,0,0,0,0,0,0,0,0,47104,10.01023412,0
1,76977,39706,75362,57502,0,0,0,0,0,0,0,0,0,0,10.01029372,0
1,77226,39924,60894,10890,0,0,0,0,0,0,0,0,0,402737152,10.01023889,0
1,77209,39699,95774,59800,0,0,0,0,0,0,0,0,0,-386007040,10.01030517,0
1,76858,39531,30880,116172,0,0,0,0,0,0,0,0,0,2280849696,10.01024461,0
1,77328,39928,29016,7590,0,0,0,0,0,0,0,0,0,-1933098784,10.01031947,0
1,170573,88224,155973,35164,0,0,0,0,0,0,0,0,0,-364528128,22.15357542,4
1,77409,39980,118346,12308,0,0,0,0,0,0,0,0,0,2017984800,10.01025105,0
1,471978,245118,297115,107140,0,0,0,0,0,0,0,0,0,-2017984800,61.5989871,17
1,123918,64337,94756,35672,0,0,0,0,0,0,0,0,-849411808,1140850688,16.08071709,2
1,170294,88219,137691,14284,0,0,0,0,0,0,0,0,0,-1140850688,22.14961767,4
1,193643,100634,162978,69770,0,0,0,0,0,0,0,0,-183549728,1895825408,25.18556857,5
1,100680,52146,77994,93220,0,0,0,0,0,0,0,0,0,-1895825408,13.04414201,1
1,76970,39729,27300,14544,0,0,0,0,0,0,0,0,0,0,10.01031208,0
1,100476,51857,27518,41052,0,0,0,0,0,0,0,0,1032961536,364528128,13.03841615,1
1,193685,100372,166683,228048,0,0,0,0,0,0,0,0,0,323337728,25.17881131,5
1,193095,99956,105862,91904,0,0,0,0,0,0,0,0,0,-687865856,25.17717719,5
1,77144,39735,37023,59373,0,0,0,0,0,0,0,0,0,364528128,10.01022267,0
1,77472,40113,31790,7054,0,0,0,0,0,0,0,0,0,38256128,10.010221,0
1,76919,39766,73790,67012,0,0,0,0,0,0,0,0,0,-251789312,10.01023507,0
1,100605,52064,122430,13326,0,0,0,0,0,0,0,0,0,47104,13.04967785,1
1,76902,39721,93578,60102,0,0,0,0,0,0,0,0,0,536823808,10.01022744,0
1,77293,40080,42678,17100,0,0,0,0,0,0,0,0,0,3288334336,10.01024532,0
1,77082,39859,114786,24258,0,0,0,0,0,0,0,0,0,-3573547008,10.010252,0
